Date, Symbol, Series, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
29-Jan-16, ONGC, EQ,221.3,227.85,221,225.5,226.25,8506493,19157.33
28-Jan-16, ONGC, EQ,218,220.8,215.25,219.3,219.9,5840671,12787.46
27-Jan-16, ONGC, EQ,219.7,221.75,217,218.5,218.4,4496043,9891
25-Jan-16, ONGC, EQ,220.4,221.25,216.55,219.8,219.65,3242696,7111.31
22-Jan-16, ONGC, EQ,211.95,217,209.8,216.3,216.25,4835825,10351.25
21-Jan-16, ONGC, EQ,213.65,214.75,205.95,206.2,207.3,5919729,12358.95
20-Jan-16, ONGC, EQ,214.1,215.1,209.2,214,213.3,4345939,9215.77
19-Jan-16, ONGC, EQ,215.6,219.4,211.5,218,218,2531939,5466.09
18-Jan-16, ONGC, EQ,217,218,211.25,214.8,214.4,3822690,8200.83
15-Jan-16, ONGC, EQ,224.4,224.4,217.8,218.1,219.45,3008388,6640.2
14-Jan-16, ONGC, EQ,220.95,225.5,216.6,223.6,223.25,4349051,9643.26
13-Jan-16, ONGC, EQ,223,223.95,217.55,223.55,223.2,3589717,7936.13
12-Jan-16, ONGC, EQ,224,224.3,220,222.1,221.35,3695782,8167.21
11-Jan-16, ONGC, EQ,226,227.25,222.15,225.65,225.5,4275597,9627.78
8-Jan-16, ONGC, EQ,228,231.8,225.65,231.2,230.15,4598879,10559.38
7-Jan-16, ONGC, EQ,231,233.9,224.05,226,226.6,5072924,11497.24
6-Jan-16, ONGC, EQ,242,242.3,234.65,237,237.55,2004807,4797.84
5-Jan-16, ONGC, EQ,240,244.25,239.05,241.8,241.85,2430875,5875.77
4-Jan-16, ONGC, EQ,241,244.8,235.65,238.5,238.05,2083421,5012.29
1-Jan-16, ONGC, EQ,239.9,243.4,238.1,241.55,242.5,1847985,4460.82
31-Dec-15, ONGC, EQ,239.5,243.8,235.15,239.95,241.75,4399110,10574.75
30-Dec-15, ONGC, EQ,240,242.8,239.4,240,239.9,2618588,6293.22
29-Dec-15, ONGC, EQ,240,241.85,237.45,240,239.75,2368569,5664.41
28-Dec-15, ONGC, EQ,234,241.3,234,239.3,240.2,3531082,8434.11
24-Dec-15, ONGC, EQ,238,239.8,233.3,234.25,233.85,2925695,6902.86
23-Dec-15, ONGC, EQ,232.9,236.4,231.25,236.1,235.55,4014235,9420.5
22-Dec-15, ONGC, EQ,230.45,232.5,228.3,230.45,230.55,3064548,7067.95
21-Dec-15, ONGC, EQ,223,231.05,221.7,231.05,230.45,3332878,7630.3
18-Dec-15, ONGC, EQ,223,224.8,221.2,224.3,223.25,4801051,10698.1
17-Dec-15, ONGC, EQ,226,226.3,220,225.35,224.8,6152996,13704.47
16-Dec-15, ONGC, EQ,219.7,227.6,217.35,225.8,226.65,5575795,12557.73
15-Dec-15, ONGC, EQ,215,218.6,213.3,218.3,217.8,3279674,7113.11
14-Dec-15, ONGC, EQ,212.5,214.6,211.25,213.5,213.4,3185842,6784.89
11-Dec-15, ONGC, EQ,219.5,220.8,214.4,215.3,215.35,4352597,9423.25
10-Dec-15, ONGC, EQ,217.9,220.9,214.8,220,219.8,4565802,10003.23
9-Dec-15, ONGC, EQ,215,218,212.9,217.45,217.1,4215793,9074.72
8-Dec-15, ONGC, EQ,222,222.25,214.05,214.5,215.75,5863135,12744.65
7-Dec-15, ONGC, EQ,228.05,228.5,222.8,224.1,223.9,2414049,5408.16
4-Dec-15, ONGC, EQ,227.75,231.1,226.05,227.3,227.2,3415469,7776.34
3-Dec-15, ONGC, EQ,233.1,233.9,228.1,229.3,229.7,4950787,11459.63
2-Dec-15, ONGC, EQ,237.1,238,233.3,235.2,235.8,2080856,4900.38
1-Dec-15, ONGC, EQ,234.55,238.45,233.05,235.1,235.6,2363787,5594.9
30-Nov-15, ONGC, EQ,234,235.9,230.2,234.25,234.15,3932293,9182.72
27-Nov-15, ONGC, EQ,236.5,238.75,234.35,235.45,235.4,1902683,4488.94
26-Nov-15, ONGC, EQ,233.1,236.9,231.8,235.25,234.85,5467269,12808.39
24-Nov-15, ONGC, EQ,232,238.35,229.75,232.85,232.8,3453149,8126.46
23-Nov-15, ONGC, EQ,235,235.9,231,231.5,231.7,1530756,3573.63
20-Nov-15, ONGC, EQ,233.8,235.75,231.35,233.5,234.05,1734379,4063.94
19-Nov-15, ONGC, EQ,232.75,233.7,229.25,232.5,233,1899896,4410.17
18-Nov-15, ONGC, EQ,231.05,232.75,228.95,230.3,230.7,2574821,5937.19
17-Nov-15, ONGC, EQ,231,233.25,226.7,232.8,232.35,6290346,14441.56
16-Nov-15, ONGC, EQ,228.4,230.9,221.25,230.35,230.15,4359243,9878.4
13-Nov-15, ONGC, EQ,233.05,233.5,228,229.7,228.9,4585470,10540.57
11-Nov-15, ONGC, EQ,238.9,239.4,236.5,236.75,237,242992,577.48
10-Nov-15, ONGC, EQ,245.1,247.8,235.6,237,236.7,3894593,9297.11
9-Nov-15, ONGC, EQ,246.2,251,245.05,248.9,249.3,2715318,6755.15
6-Nov-15, ONGC, EQ,248.7,256.6,248,252,251.45,4009592,10105.37
5-Nov-15, ONGC, EQ,250,253.8,249.65,251.15,250.65,3230189,8136.04
4-Nov-15, ONGC, EQ,253.55,254.2,249.8,252,252.1,2448364,6155.45
3-Nov-15, ONGC, EQ,247.2,251.5,245.3,251.45,250.7,1842932,4586.87
2-Nov-15, ONGC, EQ,246.95,248.8,242.15,248.45,247.4,1352061,3316.34
